Date,rDIS,rDIS_ex,rM_ex,rSmB,rHmL,rRmW,rCmA,rf,MoM
1/10/2006,0.017793699,0.013693699,0.0323,0.0193,-0.0004,-0.0022,0.0026,0.0041,-0.0023
1/9/2006,0.042495805,0.038395805,0.0184,-0.0143,0.0005,0.0088,0.0053,0.0041,-0.0094
1/8/2006,-0.001347307,-0.005547307,0.0203,0.0044,-0.0171,-0.0174,0.0215,0.0042,-0.0346
1/7/2006,-0.010333371,-0.014333371,-0.0078,-0.0369,0.0294,0.0154,0.0093,0.004,-0.0222
1/6/2006,-0.016393249,-0.020393249,-0.0035,-0.0023,0.0088,0.0138,-0.0011,0.004,0.0148
1/5/2006,0.090844009,0.086544009,-0.0357,-0.0299,0.0255,0.0096,0.0134,0.0043,-0.0365
1/4/2006,0.002509958,-0.001090042,0.0073,-0.0083,0.026,0.0115,-0.0025,0.0036,0.0061
1/3/2006,-0.003572887,-0.007272887,0.0146,0.0345,0.006,-0.0004,-0.005,0.0037,0.0126
1/2/2006,0.105887111,0.102487111,-0.003,-0.0045,-0.0025,-0.007,0.02,0.0034,-0.0184
1/1/2006,0.067282494,0.063782494,0.0304,0.0577,0.0112,-0.0094,-0.0054,0.0035,0.0268
1/12/2005,-0.038507629,-0.041707629,-0.0025,-0.0027,0.0044,0.0012,0.0024,0.0032,0.0077
1/11/2005,0.022979131,0.019879131,0.0361,0.008,-0.0119,-0.006,-0.0119,0.0031,0.0025
1/10/2005,0.009946063,0.007246063,-0.0202,-0.0141,0.0023,-0.0058,-0.0126,0.0027,-0.0129
1/9/2005,-0.042080345,-0.044980345,0.0049,-0.0031,0.0076,0.0049,-0.0056,0.0029,0.0346
1/8/2005,-0.01755035,-0.02055035,-0.0122,-0.0086,0.0127,-0.0223,0.0045,0.003,0.0227
1/7/2005,0.018268119,0.015868119,0.0392,0.0283,-0.0051,-0.0119,-0.0098,0.0024,-0.0001
1/6/2005,-0.08236147,-0.08466147,0.0057,0.0326,0.0263,0.0098,-0.0053,0.0023,0.0205
1/5/2005,0.039393919,0.036993919,0.0365,0.0272,-0.0081,-0.0131,0.0028,0.0024,0.0044
1/4/2005,-0.081099903,-0.083199903,-0.0261,-0.0402,-0.0035,0.0096,-0.009,0.0021,-0.0087
1/3/2005,0.028274942,0.026174942,-0.0197,-0.014,0.0159,0.0047,0.0111,0.0021,0.0054
1/2/2005,-0.024100732,-0.025700732,0.0189,-0.003,0.0164,0.012,-0.0006,0.0016,0.0316
1/1/2005,0.03918532,0.03758532,-0.0276,-0.0111,0.0196,0.0305,-0.0137,0.0016,0.032
1/12/2004,0.034226136,0.032626136,0.0343,0.0001,-0.0007,-0.0126,0.0051,0.0016,-0.0284
1/11/2004,0.065820845,0.064320845,0.0454,0.0413,0.018,-0.0106,-0.0022,0.0015,0.0323
1/10/2004,0.118403419,0.117303419,0.0143,0.0029,-0.0062,-0.0007,0.004,0.0011,-0.0152
1/9/2004,0.004454745,0.003354745,0.016,0.0329,-0.0025,-0.0134,-0.0189,0.0011,0.0525
1/8/2004,-0.027718012,-0.028818012,0.0008,-0.0127,0.0102,0.013,-0.0143,0.0011,-0.0155
1/7/2004,-0.094154602,-0.095154602,-0.0406,-0.0302,0.0412,0.0508,-0.0162,0.001,-0.0229
1/6/2004,0.086067766,0.085267766,0.0186,0.0257,0.0139,0.0112,-0.0041,0.0008,0.021
1/5/2004,0.019105174,0.018505174,0.0117,-0.004,-0.0039,-0.0097,-0.0008,0.0006,0.016
1/4/2004,-0.078431562,-0.079231562,-0.0183,-0.0219,-0.0262,0.0331,-0.028,0.0008,-0.0539
1/3/2004,-0.058047165,-0.058947165,-0.0132,0.0211,0.0022,0.015,-0.0104,0.0009,0.0021
1/2/2004,0.105416511,0.104816511,0.014,-0.0091,0.005,0.0228,-0.0134,0.0006,-0.011
1/1/2004,0.038632923,0.037932923,0.0215,0.0254,0.0197,-0.0353,0.034,0.0007,0.026
1/12/2003,0.010394712,0.009594712,0.0429,-0.0269,0.0241,0,0.0097,0.0008,-0.0571
1/11/2003,0.019875855,0.019175855,0.0135,0.0221,0.0185,0.0008,0.0167,0.0007,0.0162
1/10/2003,0.122459422,0.121759422,0.0608,0.0264,0.0177,-0.0159,0.0155,0.0007,0.0373
1/9/2003,-0.016097742,-0.016897742,-0.0124,0.0052,0.0001,0.0134,0.0031,0.0008,-0.0019
1/8/2003,-0.064780792,-0.065480792,0.0234,0.0254,0.0203,-0.0246,0.022,0.0007,-0.0056
1/7/2003,0.109872995,0.109172995,0.0235,0.0473,-0.0113,-0.0417,0.0187,0.0007,-0.0031
1/6/2003,0.005088916,0.004088916,0.0142,0.0168,0.0068,0.0055,-0.0033,0.001,-0.0106
